Customs Office;; Location;; Last updated;; Commercial Flow - Canada bound;; Commercial Flow - U.S. bound;; Travellers Flow - Canada bound;; Travellers Flow - U.S. bound;;
St. Stephen;; St. Stephen, NB/Calais, ME;; 2014-03-02 21:00 AST;; Not applicable;; --;; No delay;; --;; 
St.Stephen 3rd Bridge;; St.Stephen, NB/Calais, ME;; 2014-03-02 20:49 AST;; No delay;; --;; No delay;; --;; 
Edmundston;; Edmundston, NB/Madawaska, ME;; 2014-03-02 21:02 AST;; No delay;; --;; No delay;; --;; 
Woodstock Road;; Belleville, NB/Houlton, ME;; 2014-03-02 21:00 AST;; No delay;; --;; No delay;; --;; 
Stanstead;; Stanstead, QC/Derby Line, VT;; 2014-03-02 20:04 EST;; No delay;; --;; No delay;; --;; 
St-Armand/Philipsburg;; St. Armand, QC/Highgate Springs, VT;; 2014-03-02 20:03 EST;; No delay;; --;; No delay;; --;; 
St-Bernard-de-Lacolle;; Lacolle, QC/Champlain, NY;; 2014-03-02 20:01 EST;; No delay;; --;; No delay;; --;; 
Cornwall;; Cornwall, ON/Rooseveltown, NY;; 2014-03-02 19:54 EST;; No delay;; --;; No delay;; --;; 
Prescott;; Prescott, ON/Ogdensburg, NY;; 2014-03-02 18:55 EST;; No delay;; --;; No delay;; --;; 
Thousand Island Bridge;; Lansdowne, ON/Alexandria Bay, NY;; 2014-03-02 20:00 EST;; No delay;; --;; No delay;; --;; 
Sault Ste. Marie;; Sault Ste. Marie, ON/Sault Ste. Marie, MI;; 2014-03-02 20:02 EST;; No delay;; --;; No delay;; --;; 
Fort Frances Bridge;; Fort Frances, ON/International Falls, MN;; 2014-03-02 19:08 CST;; No delay;; --;; No delay;; --;; 
Queenston-Lewiston Bridge;; Queenston, ON/Lewiston, NY;; 2014-03-02 19:58 EST;; No delay;; --;; No delay;; --;; 
Rainbow Bridge;; Niagara Falls, ON/Niagara Falls, NY;; 2014-03-02 20:17 EST;; Not applicable;; --;; No delay;; --;; 
Peace Bridge;; Fort Erie, ON/Buffalo, NY;; 2014-03-02 19:53 EST;; No delay;; --;; 10 minutes;; --;; 
Blue Water Bridge;; Sarnia, ON/Port Huron, MI;; 2014-03-02 19:48 EST;; No delay;; --;; No delay;; --;; 
Detroit and Canada Tunnel;; Windsor, ON/Detroit, MI;; 2014-03-02 20:07 EST;; No delay;; --;; No delay;; --;; 
Ambassador Bridge;; Windsor, ON/Detroit, MI;; 2014-03-02 20:06 EST;; No delay;; --;; No delay;; --;; 
Emerson;; Emerson, MB/Pembina, ND;; 2014-03-02 18:48 CST;; No delay;; --;; No delay;; --;; 
North Portal;; North Portal, SK/Portal, ND;; 2014-03-02 18:11 MST;; 20 minutes;; --;; 20 minutes;; --;; 
Coutts;; Coutts, AB/Sweet Grass, MT;; 2014-03-02 18:07 MST;; 10 minutes;; --;; No delay;; --;; 
Abbotsford-Huntingdon;; Huntingdon, BC/Sumas, WA;; 2014-03-02 16:45 PST;; No delay;; --;; 30 minutes;; --;; 
Aldergrove;; Aldergrove, BC/Lynden, WA;; 2014-03-02 17:02 PST;; Not applicable;; --;; 20 minutes;; --;; 
Pacific Highway;; Surrey, BC/Blaine, WA;; 2014-03-02 16:56 PST;; No delay;; --;; No delay;; --;; 
Douglas (Peace Arch);; Surrey, BC/Blaine, WA;; 2014-03-02 16:54 PST;; Not applicable;; --;; No delay;; --;; 
Boundary Bay;; Delta, BC/Point Roberts, WA;; 2014-03-02 17:01 PST;; No delay;; --;; No delay;; --;; 
